Company Name,Industry,Symbol
3M INDIA LTD.,DIVERSIFIED,3MINDIA
ABB INDIA LTD.,INDUSTRIAL MANUFACTURING,ABB
ACC LTD.,CEMENT & CEMENT PRODUCTS,ACC
AIA ENGINEERING LTD.,INDUSTRIAL MANUFACTURING,AIAENG
APLAPOLLO TUBES LTD.,METALS,APLAPOLLO
AARTI INDUSTRIES LTD.,CHEMICALS,AARTIIND
ADANI ENTERPRISES LTD.,METALS,ADANIENT
ADANI GREEN ENERGY LTD.,POWER,ADANIGREEN
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,SERVICES,ADANIPORTS
ADANI TOTAL GAS LTD.,SERVICES,ATGL
ADITYA BIRLA CAPITAL LTD.,FINANCIAL SERVICES,ABCAPITAL
ADITYA BIRLA FASHION & RETAIL LTD.,CONSUMER GOODS,ABFRL
AMBUJA CEMENTS LTD.,CEMENT & CEMENT PRODUCTS,AMBUJACEM
APOLLO HOSPITALS ENTERPRISE LTD.,HEALTHCARE,APOLLOHOSP
APOLLO TYRES LTD.,AUTOMOBILE,APOLLOTYRE
ASHOK LEYLAND LTD.,AUTOMOBILE,ASHOKLEY
ASIAN PAINTS LTD.,CONSUMER GOODS,ASIANPAINT
AU SMALL FINANCE BANK LTD.,FINANCIAL SERVICES,AUBANK
AXIS BANK LTD.,FINANCIAL SERVICES,AXISBANK
BAJAJ AUTO LTD.,AUTOMOBILE,BAJAJ-AUTO
BAJAJ FINANCE LTD.,FINANCIAL SERVICES,BAJFINANCE
BAJAJ FINSERV LTD.,FINANCIAL SERVICES,BAJFINSV
BAJAJ HOLDINGS & INVESTMENT LTD.,FINANCIAL SERVICES,BAJAJHLDNG
BALKRISHNA INDUSTRIES LTD.,AUTOMOBILE,BALKRISIND
BANDHAN BANK LTD.,FINANCIAL SERVICES,BANDHANBNK
BANK OF BARODA,FINANCIAL SERVICES,BANKBARODA
BATA INDIA LTD.,CONSUMER GOODS,BATAINDIA
BHARAT ELECTRONICS LTD.,INDUSTRIAL MANUFACTURING,BEL
BHARAT FORGE LTD.,INDUSTRIAL MANUFACTURING,BHARATFORG
BHARAT PETROLEUM CORPORATION LTD.,OIL & GAS,BPCL
BHARTI AIRTEL LTD.,TELECOM,BHARTIARTL
BIOCON LTD.,HEALTHCARE,BIOCON
BOSCH LTD.,AUTOMOBILE,BOSCHLTD
BRITANNIA INDUSTRIES LTD.,CONSUMER GOODS,BRITANNIA
CIPLA LTD.,HEALTHCARE,CIPLA
COAL INDIA LTD.,METALS,COALINDIA
COLGATE-PALMOLIVE (INDIA) LTD.,CONSUMER GOODS,COLPAL
CONTAINER CORPORATION OF INDIA LTD.,SERVICES,CONCOR
COROMANDEL INTERNATIONAL LTD.,FERTILISERS & PESTICIDES,COROMANDEL
CROMPTON GREAVES CONSUMER ELECTRICALS LTD.,CONSUMER GOODS,CROMPTON
DLF LTD.,REALTY,DLF
DABUR INDIA LTD.,CONSUMER GOODS,DABUR
DIVI'S LABORATORIES LTD.,HEALTHCARE,DIVISLAB
DR. REDDY'S LABORATORIES LTD.,HEALTHCARE,DRREDDY
EICHER MOTORS LTD.,AUTOMOBILE,EICHERMOT
GAIL (INDIA) LTD.,OIL & GAS,GAIL
GODREJ CONSUMER PRODUCTS LTD.,CONSUMER GOODS,GODREJCP
GRASIM INDUSTRIES LTD.,CEMENT & CEMENT PRODUCTS,GRASIM
HCL TECHNOLOGIES LTD.,IT,HCLTECH
HDFC BANK LTD.,FINANCIAL SERVICES,HDFCBANK
HDFC LIFE INSURANCE COMPANY LTD.,FINANCIAL SERVICES,HDFCLIFE
HAVELLS INDIA LTD.,CONSUMER GOODS,HAVELLS
HERO MOTOCORP LTD.,AUTOMOBILE,HEROMOTOCO
HINDALCO INDUSTRIES LTD.,METALS,HINDALCO
HINDUSTAN PETROLEUM CORPORATION LTD.,OIL & GAS,HPCL
HINDUSTAN UNILEVER LTD.,CONSUMER GOODS,HINDUNILVR
ICICI BANK LTD.,FINANCIAL SERVICES,ICICIBANK
ICICI LOMBARD GENERAL INSURANCE COMPANY LTD.,FINANCIAL SERVICES,ICICIGI
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD.,FINANCIAL SERVICES,ICICIPRULI
IDFC FIRST BANK LTD.,FINANCIAL SERVICES,IDFCFIRSTB
ITC LTD.,CONSUMER GOODS,ITC
INDIAN OIL CORPORATION LTD.,OIL & GAS,IOC
INDIAN RAILWAY CATERING & TOURISM CORPORATION LTD.,SERVICES,IRCTC
INDUSIND BANK LTD.,FINANCIAL SERVICES,INDUSINDBK
INFOSYS LTD.,IT,INFY
INTERGLOBE AVIATION LTD.,SERVICES,INDIGO
JSW STEEL LTD.,METALS,JSWSTEEL
JUBILANT FOODWORKS LTD.,SERVICES,JUBLFOOD
KOTAK MAHINDRA BANK LTD.,FINANCIAL SERVICES,KOTAKBANK
L&T FINANCE HOLDINGS LTD.,FINANCIAL SERVICES,L&TFH
LARSEN & TOUBRO LTD.,CONSTRUCTION,LT
LIC HOUSING FINANCE LTD.,FINANCIAL SERVICES,LICHSGFIN
LIFE INSURANCE CORPORATION OF INDIA,FINANCIAL SERVICES,LICI
LUPIN LTD.,HEALTHCARE,LUPIN
M&M FINANCIAL SERVICES LTD.,FINANCIAL SERVICES,M&MFIN
MAHINDRA & MAHINDRA LTD.,AUTOMOBILE,M&M
MARICO LTD.,CONSUMER GOODS,MARICO
MARUTI SUZUKI INDIA LTD.,AUTOMOBILE,MARUTI
MUTHOOT FINANCE LTD.,FINANCIAL SERVICES,MUTHOOTFIN
