symbol,price,sma50,sma150,sma200,high52,low52,rs,vol,avgVol,atr,dataPoints,lastDate,trendPass,volumePass,score,verdict
MOREPENLAB,106.19,68.51,,,106.37,33.05,99,39001643,21097141,5.85,136,2026-08-28,False,True,50,WATCH
SIGMAADV,763.65,370.91,,,763.65,140.1,99,942674,440746,39.54,65,2026-08-27,False,True,50,WATCH
VENUSREM,1797.5,1112.85,,,1800.8,675.0,99,246228,95830,85.41,64,2026-06-12,False,True,50,WATCH
GOLDTECH,64.88,43.16,,,66.0,29.68,98,1153666,112201,3.92,94,2026-07-01,False,True,50,WATCH
ATHERENERG,1616.3,1293.69,,,1630.0,650.6,98,14538878,4719786,57.26,136,2026-08-28,False,True,50,WATCH
GTECJAINX,38.35,20.5,,,38.35,15.54,98,384169,33795,2.45,78,2026-06-08,False,True,50,WATCH
MACPOWER,2007.1,1512.22,,,2050.0,790.0,98,103809,66126,121.91,136,2026-08-28,False,True,50,WATCH
MODISONLTD,284.6,154.56,,,300.95,114.0,98,1419614,195034,17.34,72,2026-05-29,False,True,50,WATCH
RSDFIN,160.46,86.63,,,160.46,65.6,98,39691,11511,11.2,68,2026-08-05,False,True,50,WATCH
MARINE,406.8,300.76,,,412.15,150.86,97,2596284,1062545,19.31,136,2026-08-28,False,True,50,WATCH
OMFREIGHT,108.28,86.21,,,114.33,58.95,97,572908,97727,6.37,95,2026-07-02,False,True,50,WATCH
OMAXE,131.74,90.67,,,134.3,63.99,97,24953289,3655293,8.57,136,2026-08-28,False,True,50,WATCH
ONMOBILE,75.58,54.96,,,84.0,40.21,97,1839262,624704,4.15,97,2026-07-06,False,True,50,WATCH
PRITIKAUTO,19.99,14.13,,,20.99,10.41,97,2399244,354574,1.17,88,2026-06-22,False,True,50,WATCH
RUBYMILLS,336.2,232.46,,,340.8,169.02,97,1383749,85864,19.4,76,2026-06-04,False,True,50,WATCH
UNIVCABLES,1693.2,1373.29,,,1774.9,576.0,97,333702,206980,81.04,136,2026-08-28,False,True,50,WATCH
SCANSTL,62.72,42.49,,,65.2,31.35,97,780655,226420,4.26,72,2026-07-31,False,True,50,WATCH
AARTISURF,658.55,418.37,,,677.7,316.0,96,103714,45974,41.56,126,2026-08-14,False,True,50,WATCH
DBSTOCKBRO,42.3,31.26,,,48.5,23.15,96,332356,73642,3.92,100,2026-07-09,False,True,50,WATCH
EVERESTIND,529.0,391.07,,,534.0,284.9,96,78691,49180,32.48,94,2026-07-01,False,True,50,WATCH
FAIRCHEMOR,728.75,610.82,,,769.0,428.05,96,44227,28155,34.36,96,2026-07-03,False,True,50,WATCH
MAHESHWARI,68.94,51.31,,,70.99,39.04,96,85216,28671,3.12,77,2026-06-05,False,True,50,WATCH
PPAP,338.02,233.94,,,379.5,176.0,96,529664,208704,23.24,103,2026-07-14,False,True,50,WATCH
SHALPAINTS,86.19,56.42,,,89.8,35.21,96,2484740,535240,7.33,119,2026-08-05,False,True,50,WATCH
KAPSTON,559.2,458.53,,,600.0,308.3,96,242617,72460,26.49,83,2026-08-28,False,True,50,WATCH
